id,dzId,t,a,y,g,ai,dec,st
1637,1049309,Ñapaes,Ska-P,,Ska,S,,pop
1638,1052167,Sectas,Ska-P,,Ska punk,S,,pop
1639,1047881912,Colores,Ska-P,,Ska,S,,pop
1640,1049319,Cannabis,Ska-P,,Ska,S,,pop
1641,972124,Intifada,Ska-P,,Ska,S,,pop
1642,2200632547,Shake Body,Skales,,Ska,S,,pop
1643,13269955,Te Ver,Skank,,Ska punk,S,,pop
1644,63135959,Tão Seu,Skank,,Ska punk,S,,pop
1645,13263710,Resposta,Skank,,Ska punk,S,,pop
1646,13264642,Dois Rios,Skank,,Ska punk,S,,pop
1647,14896725,Vou Deixar,Skank,,Ska punk,S,,pop
1648,2432266125,My Sound,Skarra Mucci,,Ska,S,,pop
1649,2423552825,Street Dance,Skarra Mucci,,Ska,S,,pop
1650,2617462092,Stars,South Soul Symphony,,Disco,S,,pop
1651,135254718,Lose Yourself (Instrumental),Sparsh Shah,,Hip hop,S,,hiphop
1652,1344922912,Go Down Deh (feat. Sean Paul & Shaggy),Spice,,Dancehall,S,,pop
1653,143781640,Waterfall (feat. P!NK & Sia),Stargate,,Ska punk,S,,pop
1654,1287596102,Drunken Sailor,Sunny Heart,,Folk rock,S,,rock
1655,3724501492,Hip Hop,Superfunk,,Hip hop,S,,hiphop
1656,565069332,Sweet but Psycho,Sweet but Psycho,,Pop,S,,pop
1657,3131343851,Eminem (Lose Yourself)[Epic Version],TM.,,Hip hop,T,,hiphop
1658,2472258201,2003,TNT,,Techno,T,,pop
1659,3412534591,Strategy,TWICE,,K-pop,T,,kpop
1660,2429204745,Afro Beat,The Act,,Afrobeat,T,,pop
1661,116348610,Help!,The Beatles,,Pop rock,T,,rock
1662,116348668,Get Back,The Beatles,,Pop rock,T,,rock
1663,116348656,Let It Be,The Beatles,,Pop rock,T,,rock
1664,116348212,Blackbird,The Beatles,,Pop rock,T,,rock
1665,116348458,Oh! Darling,The Beatles,,Pop rock,T,,rock
1666,116348452,Come Together,The Beatles,,Pop rock,T,,rock
1667,116348340,Twist And Shout,The Beatles,,Pop rock,T,,rock
1668,116348464,Here Comes The Sun,The Beatles,,Pop rock,T,,rock
1669,116348650,Across The Universe,The Beatles,,Pop rock,T,,rock
1670,3788265862,Zombie,The Cranberries,,Rock alternatiu,T,,rock
1671,531950,Highwayman,The Highwaymen,,Country,T,,pop
1672,134919812,Omen,The Prodigy,,Techno,T,,pop
1673,134982308,Nasty,The Prodigy,,Techno,T,,pop
1674,620495812,Poison,The Prodigy,,Techno,T,,pop
1675,62126185,Breathe,The Prodigy,,Techno,T,,pop
1676,620495762,Their Law,The Prodigy,,Techno,T,,pop
1677,1123876,Swing Easy,The Skatalites,,Ska,T,,pop
1678,1123870,Rock Fort Rock,The Skatalites,,Ska,T,,pop
1679,1798725747,Gangsters,The Specials,,Ska,T,,pop
1680,1798538807,Ghost Town,The Specials,,Ska,T,,pop
1681,1787605187,Monkey Man,The Specials,,Ska,T,,pop
1682,1787605127,Do the Dog,The Specials,,Ska,T,,pop
1683,1787605237,Little Bitch,The Specials,,Ska,T,,pop
1684,2375967015,K-POP,The Weeknd,,K-pop,T,,kpop
1685,1851468577,"Truth, Beauty and Hatred - Zote's Theme (from ""Hollow Knight"")",TheManPF,,Folk rock,T,,rock
1686,1622670402,Hip Hop,Trinix Remix,,Hip hop,T,,hiphop
1687,347363401,When Love Comes To Town,U2,,Blues,U,,pop
1688,909171022,Afro Beat,Valentino Ignoto,,Afrobeat,V,,pop
1689,497500992,For A Better Day,Wake Me Up,,Pop,W,,pop
1690,465297422,Tip Toe,White Iverson,,Pop,W,,pop
1691,465297402,White Iverson,White Iverson,,Pop,W,,pop
1692,465297442,Congratulations,White Iverson,,Pop,W,,pop
1693,7675406,Run to You,Whitney Houston,,R&B Soul,W,,funk
1694,7675404,I Have Nothing,Whitney Houston,,R&B Soul,W,,funk
1695,5181151,How Will I Know,Whitney Houston,,R&B Soul,W,,funk
1696,7675405,I'm Every Woman,Whitney Houston,,R&B Soul,W,,funk
1697,2795612,One Moment in Time,Whitney Houston,,R&B Soul,W,,funk
1698,75981538,I Know Him So Well,Whitney Houston,,R&B Soul,W,,funk
1699,962260,My Love Is Your Love,Whitney Houston,,R&B Soul,W,,funk
1700,1131191,Saving All My Love for You,Whitney Houston,,R&B Soul,W,,funk
1701,962142,It's Not Right But It's Okay,Whitney Houston,,R&B Soul,W,,funk
1702,135623096,Without You,Will Dawson,,Disco,W,,pop
1703,2630862872,Push Up,Yellow Pvnk,,Techno,Y,,pop
1704,15220137,Hip-Hop,dead prez,,Hip hop,D,,hiphop
1705,3805785612,Mono (feat. skaiwater),i-dle,,Ska,I,,pop
1706,141186329,Hip-Hop,Бумбокс,,Hip hop,Б,,hiphop
1707,2404459985,HIP HOP,주헌 (몬스타엑스),,Hip hop,주,,hiphop
1708,568996,"Couch Potato (Parody of ""Lose Yourself"" by Eminem)","""Weird Al"" Yankovic",,Hip hop rap,"""",,hiphop
1709,120625586,Orange Nya-Nya Style (Psy Gangnam Style Parody),Annoying Orange,,Kpop,A,,kpop
